"FIGIS_ID","ISCAAP_ID","NAME_en","NAME_fr","NAME_es","NAME_ar","NAME_cn","NAME_ru","Unit","Scientific.Name","Alpha3.Code","FAOMAP_LAYER_ID","Author"
"18163","3071300107","American slipper-limpet","Crepidule","Seba","صَحنِيَّة أمريكية","弃主履螺","","t","Crepidula fornicata","KDF","","(Linnaeus 1758)"
"18165","3164200220","","","","","","","t","Tellina fabula","TXF","","(Gronovius 1781)"
"18166","4230300101","Northern right whale","Baleine de Biscaye","Ballena franca","حوت شمالي أو بسكاي","北露脊鲸","","no","Eubalaena glacialis","EUG","","(Müller 1776)"
"18169","4230500101","Pygmy right whale","Baleine pygmée","Ballena franca pigmea","حوت قزِمِيّ","侏露脊鲸","","no","Caperea marginata","CPM","","(Gray 1846)"
"18170","4230400101","Gray whale","Baleine grise","Ballena gris","حوت رمادي","灰鲸","Кит серый","no","Eschrichtius robustus","GRW","","(Lilljeborg 1861)"
"18171","4220700101","Pygmy sperm whale","Cachalot pygmée","Cachalote pigmeo","عنبر قَزِمِيّ","小抹香鲸","","no","Kogia breviceps","PYW","","(de Blainville 1838)"
"18172","4220700102","Dwarf sperm whale","Cachalot nain","Cachalote enano","عنبر قَزَم","侏儒抹香鲸","","no","Kogia sima","DWW","","Owen 1866"
"2250","1620100101","John dory","Saint Pierre","Pez de San Pedro","","","Солнечник обыкновенный","t","Zeus faber","JOD","2250","Linnaeus 1758"
"2251","16203XXXXX","Boarfishes nei","Sangliers nca","Ochavos nep","","","Капровые","t","Caproidae","BOR","",""
"2253","1620400701","Black oreo","","","","","Аллоцит черный","t","Allocyttus niger","BOE","","James, Inada & Nakamura 1988"
"2254","1620400702","Warty dory","","","","","","t","Allocyttus verrucosus","ALL","","(Gilchrist 1906)"
"2255","17710001XX","Barracudas nei","Bécunes nca","Picudas nep","","","Барракуды","t","Sphyraena spp","BAR","",""
"2248","16102003XX","Alfonsinos nei","Béryx nca","Alfonsinos nep","","","Бериксы","t","Beryx spp","ALF","",""
"18586","1620100402","Mirror dory","","","","","","t","Zenopsis nebulosus","ZNE","","(Temminck & Schlegel 1845)"
"18173","4220201901","Arnoux's beaked whale","Béradien d'Arnoux","Ballenato de Arnoux","","","","no","Berardius arnuxii","BAW","","Duvernoy 1851"
"18175","4220200502","Southern bottlenose whale","Hyperoodon austral","Ballena nariz de botella sur","","","","no","Hyperoodon planifrons","SRW","","Flower 1882"
"18010","3073800118","Lynx cowrie","Porcelaine lynx","","","","","t","Cyprea lynx","YQY","","Linnaeus 1758"
"18011","3073800119","Reticulated cowrie","Porcelaine réticulée","","","","","t","Cyprea maculifera","YQM","","Schilder 1932"
"18012","3073800120","Money cowrie","Porcelaine monnaie","","","","","t","Cyprea moneta","YQO","","Linnaeus 1758"
"18013","3073800121","Walled cowrie","Porcelaine anneau d'or Tahiti","","","","","t","Cyprea obvelata","YQV","","Lamarck 1810"
"18014","3073800122","Onyx cowrie","Porcelaine onyx","","","","","t","Cyprea onyx","YQX","","Linnaeus 1758"
"18015","3073800123","Schilders' cowrie","Porcelaine de Schilder","","","","","t","Cyprea schilderorum","YQH","","Iredale 1939"
"18016","3073800124","Jester cowrie","Porcelaine bouffon","","","","","t","Cyprea scurra","YPZ","","Gmelin 1791"
"18017","3073800125","Tummy cowrie","Porcelaine gésier","","","","","t","Cyprea ventriculus","YQN","","Lamarck 1810"
"18018","3073900101","Common egg cowrie","Ovule commune","","","","","t","Ovula ovum","OVO","","(Linnaeus 1758)"
"2470","17501XXXXX043","Tunas nei","Thonidés nca","Atunes nep","","","","t","Thunnini","TUN","",""
"2471","1750100101","Atlantic bonito","Bonite à dos rayé","Bonito del Atlántico","","","Пеламида атлантическая","t","Sarda sarda","BON","2471","(Bloch 1793)"
"19346","22804032XX","Plesionika shrimps nei","Crevettes Plesionika nca","Camarones Plesionika nep","","","","t","Plesionika spp","XKX","",""
"2507","1760401201","Indian driftfish","Ariomme indienne","Arioma índica","","","","t","Ariomma indica","DRI","","(Day 1871)"
"2508","17608010XX","Warehou nei","Sériolelles nca","Cojinobas nep","","","Сериолеллы","t","Seriolella spp","BSP","",""
