"Item Group","Item Group FIGIS_ID","Item Member","Item Member FIGIS_ID"
"PHALLOSTETHIDAE","7000","Gulaphallus bikolanus","12430"
"PHALLOSTETHIDAE","7000","Neostethus amaricola","13762"
"PHALLOSTETHIDAE","7000","Phallostethus dunckeri","14304"
"PHALLOSTETHIDAE","7000","Phenacostethus posthon","14313"
"BEDOTIIDAE","7001","Bedotia geayi","10841"
"BEDOTIIDAE","7001","Rheocles alaotrensis","14926"
"MELANOTAENIIDAE","7002","Cairnsichthys rhombosomoides","11045"
"MELANOTAENIIDAE","7002","Chilatherina axelrodi","11333"
"MELANOTAENIIDAE","7002","Glossolepis incisus","12354"
"MELANOTAENIIDAE","7002","Iriatherina werneri","12880"
"MELANOTAENIIDAE","7002","Melanotaenia affinis","13415"
"MELANOTAENIIDAE","7002","Rhadinocentrus ornatus","14915"
"PSEUDOMUGILIDAE","7003","Kiunga ballochi","12932"
"PSEUDOMUGILIDAE","7003","Pseudomugil connieae","14671"
"PSEUDOMUGILIDAE","7003","Scaturiginichthys vermeilipinnis","15109"
"PSEUDOMUGILIDAE","7003","Pseudomugilidae","16099"
"NOTOCHEIRIDAE","7004","Iso flosmaris","12887"
"NOTOCHEIRIDAE","7004","Notocheirus hubbsi","13806"
"TELMATHERINIDAE","7005","Kalyptatherina helodes","12917"
"TELMATHERINIDAE","7005","Paratherina cyanea","14167"
"TELMATHERINIDAE","7005","Quirichthys stramineus","14787"
"TELMATHERINIDAE","7005","Telmatherina abendanoni","15613"
"TELMATHERINIDAE","7005","Tominanga aurea","15713"
"DENTATHERINIDAE","7006","Dentatherina merceri","11838"
"CYPRINODONTIDAE","7007","Cyprinodon variegatus","6518"
"CYPRINODONTIDAE","7007","Aphanius dispar","10445"
"CYPRINODONTIDAE","7007","Aphanius fasciatus","10446"
"CYPRINODONTIDAE","7007","Aphanius iberus","10447"
"CYPRINODONTIDAE","7007","Cualac tessellatus","11655"
"CYPRINODONTIDAE","7007","Cubanichthys cubensis","11656"
"CYPRINODONTIDAE","7007","Cyprinodon alvarezi","11746"
"CYPRINODONTIDAE","7007","Cyprinodon atrorus","11747"
"CYPRINODONTIDAE","7007","Cyprinodon latifasciatus","11748"
"CYPRINODONTIDAE","7007","Cyprinodon macularius","11749"
"CYPRINODONTIDAE","7007","Floridichthys carpio","12231"
"CYPRINODONTIDAE","7007","Jordanella floridae","12911"
"CYPRINODONTIDAE","7007","Kosswigichthys asquamatus","12940"
"CYPRINODONTIDAE","7007","Megupsilon aporus","13399"
"CYPRINODONTIDAE","7007","Orestias chungarensis","13978"
"GOODEIDAE","7008","Allodontichthys hubbsi","10284"
"GOODEIDAE","7008","Allodontichthys tamazulae","10285"
"GOODEIDAE","7008","Alloophorus robustus","10289"
"GOODEIDAE","7008","Allotoca dugesii","10291"
"GOODEIDAE","7008","Ameca splendens","10334"
"GOODEIDAE","7008","Ataeniobius toweri","10628"
"GOODEIDAE","7008","Chapalichthys encaustus","11279"
"GOODEIDAE","7008","Chapalichthys pardalis","11280"
"GOODEIDAE","7008","Characodon audax","11282"
"GOODEIDAE","7008","Characodon lateralis","11283"
"GOODEIDAE","7008","Crenichthys baileyi","11604"
"GOODEIDAE","7008","Empetrichthys merriami","12012"
"GOODEIDAE","7008","Girardinichthys multiradiatus","12341"
"GOODEIDAE","7008","Goodea atripinnis","12403"
"GOODEIDAE","7008","Hubbsina turneri","12756"
"GOODEIDAE","7008","Ilyodon furcidens","12861"
"GOODEIDAE","7008","Neoophorus catarinae","13745"
"GOODEIDAE","7008","Skiffia lermae","15335"
"GOODEIDAE","7008","Xenoophorus captivus","16011"
"GOODEIDAE","7008","Xenotaenia resolanae","16017"
"GOODEIDAE","7008","Xenotoca eiseni","16019"
"GOODEIDAE","7008","Zoogoneticus quitzeoensis","16064"
"ANABLEPIDAE","7009","Anableps anableps","10355"
"ANABLEPIDAE","7009","Jenynsia lineata","12903"
"ANABLEPIDAE","7009","Oxyzygonectes dovii","14021"
"POECILIIDAE","7010","Alfaro cultratus","10280"
"POECILIIDAE","7010","Aplocheilichthys fuelleborni","10468"
"POECILIIDAE","7010","Belonesox belizanus","10850"
"POECILIIDAE","7010","Brachyrhaphis cascajalensis","10946"
"POECILIIDAE","7010","Carlhubbsia kidderi","11146"
"POECILIIDAE","7010","Cnesterodon carnegiei","11478"
"POECILIIDAE","7010","Congopanchax brichardi","11513"
"POECILIIDAE","7010","Cynopanchax bukobanus","11713"
"POECILIIDAE","7010","Gambusia affinis","12279"
"POECILIIDAE","7010","Gambusia echeagarayi","12280"
"POECILIIDAE","7010","Girardinus creolus","12342"
"POECILIIDAE","7010","Heterandria attenuata","12648"
"POECILIIDAE","7010","Hylopanchax stictopleuron","12778"
"POECILIIDAE","7010","Hypsopanchax catenatus","12821"
"POECILIIDAE","7010","Laciris pelagicus","13008"
"POECILIIDAE","7010","Lamprichthys tanganicanus","13047"
"POECILIIDAE","7010","Limia caymanensis","13195"
"POECILIIDAE","7010","Neoheterandria cana","13732"
"POECILIIDAE","7010","Pamphorichthys araguaiensis","14038"
"POECILIIDAE","7010","Pantanodon podoxys","14047"
"POECILIIDAE","7010","Phallichthys fairweatheri","14300"
"POECILIIDAE","7010","Phalloceros caudimaculatus","14301"
"POECILIIDAE","7010","Phalloptychus januarius","14303"
"POECILIIDAE","7010","Plataplochilus cabindae","14397"
"POECILIIDAE","7010","Poecilia amazonica","14462"
"POECILIIDAE","7010","Poecilia reticulata","14463"
"POECILIIDAE","7010","Poeciliopsis hnilickai","14464"
"POECILIIDAE","7010","Priapella bonita","14547"
"POECILIIDAE","7010","Priapichthys annectens","14548"
"POECILIIDAE","7010","Procatopus aberrans","14581"
"POECILIIDAE","7010","Pseudopoecilia austrocolumbiana","14685"
"POECILIIDAE","7010","Quintana atrizona","14786"
"POECILIIDAE","7010","Scolichthys greenwayi","15144"
"POECILIIDAE","7010","Tomeurus gracilis","15711"
"POECILIIDAE","7010","Xenodexia ctenolepis","16004"
"POECILIIDAE","7010","Xenophallus umbratilis","16012"
"POECILIIDAE","7010","Xiphophorus alvarezi","16024"
"POECILIIDAE","7010","Xiphophorus montezumae","16025"
"APLOCHEILIDAE","7011","Adamas formosus","10199"
"APLOCHEILIDAE","7011","Aphyoplatys duboisi","10457"
"APLOCHEILIDAE","7011","Aphyosemion ahli","10458"
"APLOCHEILIDAE","7011","Aplocheilus dayi","10469"
"APLOCHEILIDAE","7011","Austrofundulus dolichopterus","10669"
"APLOCHEILIDAE","7011","Cynolebias bellottii","11711"
"APLOCHEILIDAE","7011","Diapteron cyanostictum","11864"
"APLOCHEILIDAE","7011","Epiplatys azureus","12097"
"APLOCHEILIDAE","7011","Foerschichthys flavipinnis","12234"
"APLOCHEILIDAE","7011","Fundulosoma thierryi","12245"
"APLOCHEILIDAE","7011","Leptolebias minimus","13142"
"APLOCHEILIDAE","7011","Nothobranchius cyaneus","13803"
"APLOCHEILIDAE","7011","Pachypanchax omalonotus","14025"
"APLOCHEILIDAE","7011","Pronothobranchius kiyawensis","14593"
"APLOCHEILIDAE","7011","Pterolebias hoignei","14741"
"APLOCHEILIDAE","7011","Rivulus cylindraceus","15022"
"APLOCHEILIDAE","7011","Spectrolebias semiocellatus","15364"
"APLOCHEILIDAE","7011","Aplocheilus panchax","19158"
"FUNDULIDAE","7012","Adinia xenica","10201"
"FUNDULIDAE","7012","Fundulus bifax","12246"
"FUNDULIDAE","7012","Leptolucania ommata","13143"
"FUNDULIDAE","7012","Lucania goodei","13259"
"VALENCIIDAE","7013","Valencia letourneuxi","15947"
"VALENCIIDAE","7013","Valencia hispanica","19027"
"PROFUNDULIDAE","7014","Profundulus hildebrandi","14586"
"ADRIANICHTHYIDAE","7015","Adrianichthys kruyti","10204"
"ADRIANICHTHYIDAE","7015","Horaichthys setnai","12753"
"ADRIANICHTHYIDAE","7015","Oryzias javanicus","13985"
"ADRIANICHTHYIDAE","7015","Xenopoecilus oophorus","16015"
"HEMIRAMPHIDAE","7016","Hemiramphus spp","2212"
"HEMIRAMPHIDAE","7016","Hemiramphus balao","2213"
"HEMIRAMPHIDAE","7016","Hyporhamphus sajori","3002"
"HEMIRAMPHIDAE","7016","Hemiramphus brasiliensis","3003"
"HEMIRAMPHIDAE","7016","Arrhamphus sclerolepis","10577"
"HEMIRAMPHIDAE","7016","Chriodorus atherinoides","11387"
"HEMIRAMPHIDAE","7016","Dermogenys brachynotopterus","11845"
"HEMIRAMPHIDAE","7016","Euleptorhamphus viridis","12168"
"HEMIRAMPHIDAE","7016","Hemiramphus far","12614"
"HEMIRAMPHIDAE","7016","Hemiramphus marginatus","12615"
"HEMIRAMPHIDAE","7016","Hemirhamphodon chrysopunctatus","12616"
"HEMIRAMPHIDAE","7016","Hyporhamphus affinis","12805"
"HEMIRAMPHIDAE","7016","Hyporhamphus gilli","12806"
"HEMIRAMPHIDAE","7016","Hyporhamphus ihi","12807"
"HEMIRAMPHIDAE","7016","Hyporhamphus roberti","12808"
"HEMIRAMPHIDAE","7016","Hyporhamphus snyderi","12809"
"HEMIRAMPHIDAE","7016","Hyporhamphus unifasciatus","12810"
"HEMIRAMPHIDAE","7016","Melapedalion breve","13416"
"HEMIRAMPHIDAE","7016","Nomorhamphus ravnaki","13798"
"HEMIRAMPHIDAE","7016","Rhynchorhamphus georgii","15010"
"HEMIRAMPHIDAE","7016","Tondanichthys kottelati","15715"
"HEMIRAMPHIDAE","7016","Zenarchopterus dispar","16055"
"HEMIRAMPHIDAE","7016","Hyporhamphus rosae","19112"
"HEMIRAMPHIDAE","7016","Hyporhamphus intermedius","19377"
"HEMIRAMPHIDAE","7016","Euleptorhamphus velox","19399"
"HEMIRAMPHIDAE","7016","Hyporhamphus picarti","19588"
"HEMIRAMPHIDAE","7016","Hemiramphus archipelagicus","20189"
"HEMIRAMPHIDAE","7016","Hyporhamphus limbatus","20192"
"HEMIRAMPHIDAE","7016","Hyporhamphus quoyi","20193"
"HEMIRAMPHIDAE","7016","Hyporhamphus sindensis","20194"
"HEMIRAMPHIDAE","7016","Hyporhamphus unicuspis","20195"
"HEMIRAMPHIDAE","7016","Hemiramphidae","20200"
"LEPISOSTEIDAE","7017","Atractosteus tristoechus","10644"
"LEPISOSTEIDAE","7017","Lepisosteus osseus","13116"
"LEPISOSTEIDAE","7017","Atractosteus spatula","13117"
"LEPISOSTEIDAE","7017","Atractosteus tropicus","19068"
"LEPISOSTEIDAE","7017","Lepisosteus platostomus","19077"
"LEPISOSTEIDAE","7017","Lepisosteus oculatus","19088"
"LEPISOSTEIDAE","7017","Lepisosteus platyrhincus","19089"
"LEPISOSTEIDAE","7017","Atractosteus spp","19094"
"LEPISOSTEIDAE","7017","Lepisosteidae","19140"
"HIODONTIDAE","7018","Hiodon tergisus","12702"
"PANTODONTIDAE","7019","Pantodon buchholzi","14048"
"MORMYRIDAE","7020","Boulengeromyrus knoepffleri","10925"
"MORMYRIDAE","7020","Brienomyrus brachyistius","10959"
"MORMYRIDAE","7020","Campylomormyrus elephas","11071"
"MORMYRIDAE","7020","Genyomyrus donnyi","12309"
"MORMYRIDAE","7020","Gnathonemus petersii","12368"
"MORMYRIDAE","7020","Heteromormyrus pauciradiatus","12663"
"MORMYRIDAE","7020","Hippopotamyrus discorhynchus","12710"
"MORMYRIDAE","7020","Hyperopisus bebe","12783"
"MORMYRIDAE","7020","Isichthys henryi","12884"
"MORMYRIDAE","7020","Ivindomyrus opdenboschi","12897"
"MORMYRIDAE","7020","Marcusenius abadii","13371"
"MORMYRIDAE","7020","Marcusenius macrolepidotus","13372"
"MORMYRIDAE","7020","Mormyrus rume","13533"
"MORMYRIDAE","7020","Paramormyrops jacksoni","14133"
"MORMYRIDAE","7020","Petrocephalus catostoma","14291"
"MORMYRIDAE","7020","Pollimyrus isidori","14477"
"MORMYRIDAE","7020","Stomatorhinus ater","15486"
"MORMYRIDAE","7020","Mormyrus spp","18703"
