"Item Group","Item Member"
"PISCES","PETROMYZONTIFORMES"
"PISCES","MYXINIFORMES"
"PISCES","HETERODONTIFORMES"
"PISCES","LAMNIFORMES"
"PISCES","ORECTOLOBIFORMES"
"PISCES","CARCHARHINIFORMES"
"PISCES","SQUALIFORMES"
"PISCES","RAJIFORMES"
"PISCES","TORPEDINIFORMES"
"PISCES","CHIMAERIFORMES"
"PISCES","LEPIDOSIRENIFORMES"
"PISCES","ACIPENSERIFORMES"
"PISCES","CLUPEIFORMES"
"PISCES","GONORYNCHIFORMES"
"PISCES","SALMONIFORMES"
"PISCES","ESOCIFORMES"
"PISCES","STOMIIFORMES"
"PISCES","OSTEOGLOSSIFORMES"
"PISCES","AULOPIFORMES"
"PISCES","MYCTOPHIFORMES"
"PISCES","CHARACIFORMES"
"PISCES","CYPRINIFORMES"
"PISCES","SILURIFORMES"
"PISCES","ANGUILLIFORMES"
"PISCES","BELONIFORMES"
"PISCES","GADIFORMES"
"PISCES","GASTEROSTEIFORMES"
"PISCES","SYNGNATHIFORMES"
"PISCES","BERYCIFORMES"
"PISCES","ZEIFORMES"
"PISCES","MUGILIFORMES"
"PISCES","ATHERINIFORMES"
"PISCES","SYNBRANCHIFORMES"
"PISCES","PERCOIDEI"
"PISCES","ZOARCOIDEI"
"PISCES","ACANTHUROIDEI"
"PISCES","SCOMBROIDEI"
"PISCES","STROMATEOIDEI, ANABANTOIDEI"
"PISCES","GOBIOIDEI"
"PISCES","SCORPAENIFORMES"
"PISCES","OPHIDIIFORMES"
"PISCES","PLEURONECTIFORMES"
"PISCES","TETRAODONTIFORMES"
"PISCES","BATRACHOIDIFORMES"
"PISCES","LOPHIIFORMES"
"PISCES","PISCES MISCELLANEA"
"PISCES","HEXANCHIFORMES"
"PISCES","CERATODONTIFORMES"
"PISCES","COELACANTHIFORMES"
"PISCES","POLYPTERIFORMES"
"PISCES","AMIIFORMES"
"PISCES","LEPISOSTEIFORMES"
"PISCES","NOTACANTHIFORMES"
"PISCES","SACCOPHARYNGIFORMES"
"PISCES","LAMPRIFORMES"
"PISCES","PERCOPSIFORMES"
"PISCES","GYMNOTIFORMES"
"PISCES","GOBIESOCIFORMES"
"PISCES","CYPRINODONTIFORMES"
"PISCES","CETOMIMIFORMES"
"PISCES","TRACHINOIDEI"
"PISCES","OTHER PERCIFORMES"
"PISCES","ELOPIFORMES"
"PISCES","ALBULIFORMES"
"CRUSTACEA","CRUSTACEA MISCELLANEA"
"CRUSTACEA","ANOMURA"
"CRUSTACEA","BRACHYURA"
"CRUSTACEA","NATANTIA"
"CRUSTACEA","CLADOCERA"
"CRUSTACEA","ANOSTRACA"
"CRUSTACEA","THORACICA"
"CRUSTACEA","STOMATOPODA"
"CRUSTACEA","EUPHAUSIACEA"
"CRUSTACEA","REPTANTIA"
"CRUSTACEA","TANAIDACEA"
"CRUSTACEA","ISOPODA"
"CRUSTACEA","AMPHIPODA"
"CRUSTACEA","COPEPODA"
"MOLLUSCA","CEPHALOPODA"
"MOLLUSCA","BIVALVIA"
"MOLLUSCA","POLYPLACOPHORA"
"MOLLUSCA","APLACOPHORA"
"MOLLUSCA","SCAPHOPODA"
