"Item Group","Item Member"
"ANOMURA","ALBUNEIDAE"
"ANOMURA","DIOGENIDAE"
"ANOMURA","HIPPIDAE"
"ANOMURA","COENOBITIDAE"
"ANOMURA","GALATHEIDAE"
"ANOMURA","LITHODIDAE"
"ANOMURA","PAGURIDAE"
"ANOMURA","PARAPAGURIDAE"
"BRACHYURA","MAJIDAE"
"BRACHYURA","CALAPPIDAE"
"BRACHYURA","HOMOLIDAE"
"BRACHYURA","OCYPODIDAE"
"BRACHYURA","GECARCINIDAE"
"BRACHYURA","DROMIIDAE"
"BRACHYURA","RANINIDAE"
"BRACHYURA","DORIPPIDAE"
"BRACHYURA","PILUMNIDAE"
"BRACHYURA","GONEPLACIDAE"
"BRACHYURA","GERYONIDAE"
"BRACHYURA","CANCRIDAE"
"BRACHYURA","XANTHIDAE"
"BRACHYURA","PORTUNIDAE"
"BRACHYURA","GRAPSIDAE"
"BRACHYURA","ATELECYCLIDAE"
"BRACHYURA","OREGONIIDAE"
"BRACHYURA","PISIDAE"
"BRACHYURA","INACHIDAE"
"BRACHYURA","PLAGUSIIDAE"
"BRACHYURA","MENIPPIDAE"
"PETROMYZONTIFORMES","PETROMYZONTIDAE"
"PETROMYZONTIFORMES","MORDACIIDAE"
"PETROMYZONTIFORMES","GEOTRIIDAE"
"MYXINIFORMES","MYXINIDAE"
"HETERODONTIFORMES","HETERODONTIDAE"
"LAMNIFORMES","CETORHINIDAE"
"LAMNIFORMES","ODONTASPIDIDAE"
"LAMNIFORMES","ALOPIIDAE"
"LAMNIFORMES","LAMNIDAE"
"LAMNIFORMES","MEGACHASMIDAE"
"LAMNIFORMES","MITSUKURINIDAE"
"LAMNIFORMES","PSEUDOCARCHARIIDAE"
"ORECTOLOBIFORMES","GINGLYMOSTOMATIDAE"
"ORECTOLOBIFORMES","RHINCODONTIDAE"
"ORECTOLOBIFORMES","ORECTOLOBIDAE"
"ORECTOLOBIFORMES","HEMISCYLLIIDAE"
"ORECTOLOBIFORMES","BRACHAELURIDAE"
"ORECTOLOBIFORMES","STEGOSTOMATIDAE"
"ORECTOLOBIFORMES","PARASCYLLIIDAE"
"CARCHARHINIFORMES","SCYLIORHINIDAE"
"CARCHARHINIFORMES","CARCHARHINIDAE"
"CARCHARHINIFORMES","SPHYRNIDAE"
"CARCHARHINIFORMES","TRIAKIDAE"
"CARCHARHINIFORMES","PSEUDOTRIAKIDAE"
"CARCHARHINIFORMES","LEPTOCHARIIDAE"
"CARCHARHINIFORMES","HEMIGALEIDAE"
"CARCHARHINIFORMES","PROSCYLLIIDAE"
"SQUALIFORMES","SQUALIDAE"
"SQUALIFORMES","SQUATINIDAE"
"SQUALIFORMES","OXYNOTIDAE"
"SQUALIFORMES","ECHINORHINIDAE"
"SQUALIFORMES","PRISTIOPHORIDAE"
"RAJIFORMES","RHINOBATIDAE"
"RAJIFORMES","PRISTIDAE"
"RAJIFORMES","RAJIDAE"
"RAJIFORMES","DASYATIDAE"
"RAJIFORMES","MYLIOBATIDAE"
"RAJIFORMES","MOBULIDAE"
"RAJIFORMES","GYMNURIDAE"
"RAJIFORMES","ANACANTHOBATIDAE"
"RAJIFORMES","PLESIOBATIDAE"
"RAJIFORMES","HEXATRYGONIDAE"
"RAJIFORMES","UROLOPHIDAE"
"RAJIFORMES","POTAMOTRYGONIDAE"
"TORPEDINIFORMES","TORPEDINIDAE"
"TORPEDINIFORMES","NARCINIDAE"
"CHIMAERIFORMES","CHIMAERIDAE"
"CHIMAERIFORMES","RHINOCHIMAERIDAE"
"CHIMAERIFORMES","CALLORHINCHIDAE"
"LEPIDOSIRENIFORMES","LEPIDOSIRENIDAE"
"ACIPENSERIFORMES","ACIPENSERIDAE"
"ACIPENSERIFORMES","POLYODONTIDAE"
"CLUPEIFORMES","DENTICIPITIDAE"
"CLUPEIFORMES","SUNDASALANGIDAE"
"CLUPEIFORMES","CLUPEIDAE"
"CLUPEIFORMES","ENGRAULIDAE"
"CLUPEIFORMES","CHIROCENTRIDAE"
