"Item Group","Item Group FIGIS_ID","Item Member","Item Member FIGIS_ID"
"SILURIFORMES","8025","Siluroidei","2180"
"SCOMBROIDEI","8040","Scombroidei","3271"
"MYSTICETI","8081","Mysticeti","3598"
"PHAEOPHYCEAE","8114","Phaeophyceae","3628"
"TORPEDINIFORMES","8011","Torpediniformes","2064"
"ANTHOZOA","8090","Actiniaria","18775"
"SCYPHOZOA","8101","Scyphozoa","6528"
"BIVALVIA","8074","Bivalvia","2725"
"ANOMURA","8001","Anomura","16909"
"COPEPODA","8126","Copepoda","18942"
"OPHIUROIDEA","8117","Ophiuroidea","18700"
"PISCES MISCELLANEA","8049","Osteichthyes","3384"
"LAMNIFORMES","8006","Lamniformes","18564"
"AMPHIPODA","8123","Amphipoda","18764"
"NATANTIA","8066","Natantia","3397"
"CLUPEIFORMES","8015","Clupeoidei","2881"
"CRUSTACEA MISCELLANEA","8000","Crustacea","3486"
"ISOPODA","8122","Isopoda","18763"
"ANTHOZOA","8090","Pennatulacea","19155"
"HOLOTHUROIDEA","8097","Holothuroidea","2770"
"TESTUDINES","8087","Testudinata","3603"
"PISCES MISCELLANEA","8049","Perciformes","3063"
"RHODOPHYCEAE","8116","Rhodophyceae","3634"
"MOLLUSCA MISCELLANEA","8078","Mollusca","3573"
"BRACHYURA","8002","Brachyura","2650"
"HETERODONTIFORMES","8005","Heterodontiformes","18562"
"PYCNOGONIDA","8125","Pycnogonida","18774"
"SQUALIFORMES","8009","Squaliformes","2830"
"POLYCHAETA","8100","Polychaeta","2765"
"OPHIUROIDEA","8117","Euryalida","19240"
"ANGUILLIFORMES","8026","Anguilliformes","20184"
"CARCHARHINIFORMES","8008","Carcharhiniformes","2014"
"CLUPEIFORMES","8015","Clupeoidei","2073"
"DEMOSPONGIAE","8094","Demospongiae","19226"
"PISCES MISCELLANEA","8049","Osteichthyes","3382"
"ANTHOZOA","8090","Anthozoa","18771"
"PLANTAE AQUATICAE MISCELLANEA","8115","Algae","3643"
"HYDROZOA","8098","Anthoathecatae","19238"
"CYANOPHYCEAE","8112","Cyanophyceae","18406"
"PISCES MISCELLANEA","8049","Perciformes","3064"
"PISCES MISCELLANEA","8049","Selachimorpha (Pleurotremata)","3387"
"MAMMALIA MISCELLANEA","8084","Mammalia","3602"
"RAJIFORMES","8010","Rajiformes","2845"
"ECHINODERMATA","8095","Echinodermata","2766"
"GASTROPODA","8079","Gastropoda","3488"
"PINNIPEDIA","8083","Otariidae, Phocidae","2727"
"PLEURONECTIFORMES","8045","Pleuronectiformes","3345"
"CRINOIDEA","8118","Crinoidea","18702"
"BACILLARIOPHYCEAE","8110","Bacillariophyceae","18526"
"MOLLUSCA MISCELLANEA","8078","Mollusca","3574"
"PISCES MISCELLANEA","8049","Osteichthyes","2574"
"XENOPHYOPHORA","8131","Xenophyophora","19237"
"PISCES MISCELLANEA","8049","Elasmobranchii","2575"
"CHLOROPHYCEAE","8111","Chlorophyceae","3626"
"INVERTEBRATA AQUATICA MISCELL.","8099","Invertebrata","3625"
"ASTEROIDEA","8092","Asteroidea","3617"
"TANAIDACEA","8121","Tanaidacea","18762"
"MOLLUSCA MISCELLANEA","8078","Ex Mollusca","2726"
"REPTANTIA","8072","Astacidae, Cambaridae","3441"
"HEXACTINELLIDA","8135","Hexactinellida","19227"
"REPTANTIA","8072","Reptantia","2613"
"HYDROZOA","8098","Hydrozoa","19156"
"PISCES MISCELLANEA","8049","Elasmobranchii","18868"
"PISCES MISCELLANEA","8049","Osteichthyes","3385"
"ANTHOZOA","8090","Scleractinia","2760"
"PISCES MISCELLANEA","8049","Osteichthyes","2573"
"CNIDARIA","8136","Cnidaria","18863"
"DINOPHYCEAE","8113","Dinophyceae","18528"
"SALMONIFORMES","8017","Salmonoidei","2927"
"ANTHOZOA","8090","Alcyonacea","19154"
"ANNELIDA","8138","Annelida","19233"
"TESTUDINES","8087","Testudinata","3604"
"ANTHOZOA","8090","Antipatharia","18772"
"OPHIUROIDEA","8117","Ophiurida","19231"
"ODONTOCETI","8082","Odontoceti","3588"
"PTEROBRANCHIA","8133","Pterobranchia","19236"
"BRACHIOPODA","8137","Brachiopoda","19232"
"ANTHOZOA","8090","Zoanthidea","18773"
"HEXANCHIFORMES","8050","Hexanchiformes","18563"
"PISCES MISCELLANEA","8049","Batoidimorpha (Hypotremata)","3386"
"PISCES MISCELLANEA","8049","Chondrichthyes","3388"
"PERCOIDEI","8037","Percoidei","2273"
"CRUSTACEA MISCELLANEA","8000","Crustacea","3487"
"PLANTAE AQUATICAE MISCELLANEA","8115","Angiospermae","18407"
"PISCES MISCELLANEA","8049","Osteichthyes","3383"
"CHIMAERIFORMES","8012","Chimaeriformes","3389"
"ASCIDIACEA","8091","Ascidiacea","3623"
"PLANTAE AQUATICAE MISCELLANEA","8115","Plantae aquaticae","3642"
"PORIFERA","8134","Porifera","19228"
"BRYOZOA","8132","Bryozoa","19229"
"ECHINOIDEA","8096","Echinoidea","2767"
"ORECTOLOBIFORMES","8007","Orectolobiformes","18565"
"GADIFORMES","8028","Gadiformes","2214"
"CEPHALOPODA","8073","Cephalopoda","3560"
"STOMATOPODA","8070","Stomatopoda","18708"
