"ALPHA3CODE","NAME_A","NAME_C","NAME_E","NAME_F","NAME_R","NAME_S","AUTHOR"
"MCP","","","Murray cod","","","","(Mitchell 1839)"
"MQA","","","Australian bass","","","","Cuvier 1830"
"MCA","","","Golden perch","","","","(Richardson 1845)"
"BIG","","","Bigeyes nei","Beauclaires nca","","Catalufas nep",""
"THO","","","Terapon perches ne","","","",""
"STB","","","Striped bass","Bar d'Amérique","","Lubina estriada","(Walbaum 1792)"
"SNP","فيل البحر الشَّمالي","北象海豹","Northern elephant ","Éléphant de mer ","","Foca elephante del","(Gill 1866)"
"SES","","","Southern elephant ","Éléphant de mer ","","Foca elephante del","(Linnaeus 1758)"
"SMH","فُقمة ناسكة هاوايِيَة","夏威夷僧海豹","Hawaiian monk seal","Phoque moine de Ha","","Foca monje del Haw","(Matschie 1905)"
"SKC","فُقْمة ناسكة كارايْبِِيَة","西印度僧海豹","Caribbean monk sea","Phoque moine des C","","Foca monja del Car","(Gray 1850)"
"RNW","تُخس ذو ظهر أملس شمالي","北露脊海豚","Northern right wha","Dauphin à dos lis","","Delfín liso del N","(Peale 1848)"
"ZCU","","","Silver dory","","","","(Richardson 1843)"
"OTM","قُضاعة البحر","海獭","Marine otter","Loutre de mer","","Nutria de mar","(Molina 1782)"
"SZC","صندر كندي","加拿大梭鲈","Sauger","Sandre canadien","","Lucioperca canadie","(Griffith & Smith 1834)"
"ACC","","","Ruffe","Grémille","Ерш обыкновенный","Acerina","(Linnaeus 1758)"
"SEU","","","White warehou","","","Cojinoba del sur","Guichenot 1848"
"BLB","","","Blue butterfish","Fiatole","Строматей восточно-атлантический","Palometa fiatola","Linnaeus 1758"
"SIP","","","Silver pomfret","Aileron argenté","Памп серебристый (=памп зеркальный)","Palometón platero","(Euphrasen 1788)"
"HGQ","إسفنج شائع","马海绵","Honey comb","Éponge commune","","Esponja común","(Lamarck 1813)"
"HGH","","","Sheepswool sponge","","","",""
"QGA","أُذُن الفيل","伞菌角骨海绵","Elephant ear","Oreille d'élépha","","Oreja de elefante","Pallas 1766"
"QGB","","","Yellow sponge","","","","Duchassaing & Michelotti 1864"
"QGG","","","Glove sponge","","","","Hyatt 1877"
"QGO","إسفَنْج رقيق يُوناني","沐浴角骨海绵","Greek bathing spon","Éponge fine grecq","","Esponja de bano gr","Linnaeus 1759"
"GJX","قويعية مُشوّكة","刺江篱","Spiny gracilaria","Gracilaire épineu","","Pelillo espinoso","Dawson 1949"
"GCW","قويعيّة مُصفّحة","阔叶江篱","Broadleaf gracilar","Gracilaire laminé","","Gracilaria laminad","(Suringar) Agardh 1876"
"YAZ","عصا الراعي رَثِيث الثِّياب","巢沙菜","Tattered sea moss","Houlette deguenill","","Cayado andrajoso","J. Agardh 1847"
"JNA","مرجان متثلِّم للمحيط الهادئ","宽角叉珊藻","Pacific coral moss","Janire corail du P","","Falsa coralina del","Lamouroux 1816"
"OKF","","","","","","","(Kutzing) Gabrielson"
"MVT","","","","","","","(Stackhouse) Guiry in Guiry, J.A.West, D.-H. Kim & Masu"
"LJQ","","","","","","","(P.L. Crouan & H.M. Crouan) P.L. Crouan & H.M. Crouan"
"BMO","","","Blue moki","","","","(Forster 1801)"
"NEB","","","New Zealand blue c","","","","(Forster 1801)"
"TAU","","","Tautog","Tautogue noir","","","(Linnaeus 1758)"
"PWT","","","Parrotfishes nei","Perroquets nca","","Loros nep",""
"ANW","","","Angelfishes nei","Demoiselles nca","","Angeles nep",""
"HAW","","","Peruvian morwong","Castanette pintadi","","Pintadilla","Valenciennes 1833"
"TAK","","","Tarakihi","","Джакас серый","","(Forster 1801)"
"MOW","","","Morwongs","","","",""
"GKI","","","Dichotomously bran","","","","(Gmelin) Silva 1952"
"GKH","","","Prostrate gracilar","","","","(Harvey) Gurgel & Fredericq 2004"
"KMK","سِراميوم المحيط الهادئ","太平洋仙菜","Pacific ceramium","Céramium du Pacif","","Trillo del Pacífi","(Collins) Kylin 1925"
"GJP","دقيق التِّبن الرقيق","匍匐石花菜","Dwarf gelidium","Menue paille naine","","Pajilla enana","(Stackhouse) Le Jolis 1863"
"GHG","","","Gigartina seaweeds","Gigartines nca","","Lugas nep",""
"CMR","","","Mediterranean shor","Crabe vert de la M","","Cangrejo verde med","Nardo 1847"
"MUD","","","Indo-Pacific swamp","Crabe de palétuvi","","Cangrejo de mangla","(Forsskål 1775)"
"LIO","","","Velvet swimcrab","Étrille commune","","Nécora","(Linnaeus 1767)"
"SCY","","","Lesser slipper lob","Petite cigale","","Santiaguiño","(Linnaeus 1758)"
"UGU","أُخطبوط حَرِيش البحر","单角蛸","Unihorn octopus","Poulpe licorne","","Pulpo unicornio","(d’Orbigny 1840)"
"SHL","","","Lanternsharks nei","Sagres nca","","Tollos lucero nep",""
"ETR","قِرش فانوس خَشٍن","刺鳞鸟鲨","Great lanternshark","Sagre rude","","Tollo lucero raspa","Collett 1904"
"MWT","","","Weatherfish","Loche d'étang","Вьюн обыкновенный","Misgurno","(Linnaeus 1758)"
"DDL","","","Lister's keyhole l","Fissurelle de List","","Lapa de Lister","(d’Orbigny 1842)"
"FSB","","","Barbados keyhole l","Fissurelle des Bar","","Lapa de Barbados","(Gmelin 1791)"
"FSM","","","Rayed keyhole limp","Fissurelle rayonna","","Lapa radiante","(Linnaeus 1758)"
"NGK","ميلونجينا غرب المحيط الهندي","西印度洋盔螺","West Indian crown ","Mélongène des Ca","","Melongena antillan","(Linnaeus 1758)"
"UGO","","","Giant hairy melong","Mélongène noire","","Melongena negra","(Linnaeus 1758)"
"KSB","","","West Indian murex","Rocher antillais","","Busano antillano","(Lamarck 1822)"
"UTH","","","Goldmouth murex","Murex bouche d'or","","Busano boca de oro","(Sowerby 1834)"
"UTD","","","Don Moore's murex","Murex de Moore","","Busano de Moore","(Bullis 1964)"
"UTS","","","Messorius murex","Murex bouche blanc","","Busano boca blanca","(Sowerby 1841)"
"ITM","","","Black bullhead","Poisson-chat","","Bagre torito negro","(Rafinesque 1820)"
"ITE","","云斑鮰","Brown bullhead","Barbotte brune","","","(Lesueur 1819)"
"TDT","","","Tandan catfish","","","","(Mitchell 1838)"
"CAG","","","Glass catfishes","","Сомы стеклянные","",""
"CST","","","Black catfishes ne","","","",""
"CSR","","","Bagrid catfish","","","","(Lacépède 1803)"
"ITP","","","Channel catfish","Barbue de rivière","Сом канальный","Bagre de canal","(Rafinesque 1818)"
"ITC","","","White catfish","","","","(Linnaeus 1758)"
"OVG","","","Tiger olive","","","","Lamarck 1811"
"FLM","","","Margarita murex","Murex marguerite","","Busano margarita","(Abbott 1958)"
"FLO","","","Apple murex","Rocher pomme","","Busano manzanero","(Gmelin 1791)"
"HSZ","","","Deltoid rock shell","Pourpre deltoide","","Púrpura deltoide","(Lamarck 1822)"
"NJE","","","Bleeding tooth","Nérite dent saign","","Nerita diente sang","Linnaeus 1758"
"OVS","","","Lettered olive","Olive écriture","","Oliva escribana","Ravenel 1834"
"LVS","لُورانْسِيا مُنتفِخة","粗壮凹顶藻","Swollen laurenzia","Laurencia renflée","","Laurencia hinchada","Setchell & Gardner 1924"
"YXA","","","Australian trumpet","Trompette australi","","","(Linnaeus 1758)"
"FLE","","","European flounder","Flet d'Europe","Камбала речная ","Platija europea","(Linnaeus 1758)"
"FLW","","","Winter flounder","Limande-plie rouge","Камбала зимняя","Solla roja","Walbaum 1792"
"GHL","","","Greenland halibut","Flétan noir","Палтус черный (=палтус гренландский)","Fletán negro","(Walbaum 1792)"
"GLZ","","","Rex sole","Plie cynoglosse ro","","Platija rey","Lockington 1879"
"EOJ","منبسط الظهر","乔氏虫鲽","Petrale sole","Charlottin pétral","","Limanda petrale","(Lockington 1879)"
"FTS","","","Flathead sole","Balai du Japon","","Platija japonesa","Jordan & Gilbert 1880"
"YEL","","","Yellowtail flounde","Limande à queue j","Камбала желтохвостая (=лиманда желтохвостая)","Limanda","(Storer 1839)"
"MIP","","","Dover sole","Limande sole du Pa","","Soya escurridiza","(Lockington 1879)"
"EQX","","","Ensis razor clams ","Couteaux Ensis nca","","Navajas Ensis nep",""
"QND","","","Nototodarus flying","Encornets Nototoda","","Potas Nototodarus ",""
"OCW","","","","","","","Nateewathana & Norman 1999"
"OFY","","","","","","","D'Orbigny 1839-1841"
"OAW","","","","","","Burgado hembra","(Wood 1828)"
"QOS","","","Dwarf oyster","Huître naine","","Morruncho","(Payraudeau 1826)"
"WPT","","","","","","Lapa de pie negro","(Gmelin 1791)"
"HWS","","","Black-capped petre","Pétrel diablotin","","Petrel antillano","(Kuhl 1820)"
"UIL","","","Audubon's shearwat","Puffin d'Audubon","","Pardela de Audubon","Lesson 1839"
"UIM","","","Balearic shearwate","Puffin des Baléare","","Pardela pichoneta ","Lowe 1921"
"UIP","","","Manx shearwater","Puffin des anglais","","Pardela pichoneta","(Brunnich 1764)"
"UYE","","","Yelkouan shearwate","Puffin de Méditerr","","Pardela mediterrán","Acerbi 1827"
"GRL","","","Silver grunt","Grondeur argenté","","Corocoro plateado","(Forsskål 1775)"
"BUR","","","Sompat grunt","Grondeur sompat","","Ronco sompat","(Cuvier 1830)"
"BRG","","","Barred grunt","Cagna rayée","","Ronco canario","(Linnaeus 1758)"
"DRU","","","Sciaenas nei","Sciaenas nca","","Sciaenas nep",""
"MOB","","","Monocle breams","Mamilas","","Besugatos",""
"POY","أبوكِرْش","鲾属未定种","Ponyfishes(=Slipmo","Sapsap","","Motambos",""
"PIG","","","Pigfish","Goret mule","","Corocoro burro","(Linnaeus 1766)"
"GRA","","","African striped gr","Grondeur rayé","","Burro listado","(Valenciennes 1833)"
"LXP","مرجان ورقّي الشكل","纸薄层珊瑚","Leaf coral","Corail foliace","","Coral foliaceo","(Dana 1846)"
"LQZ","","","Liocarcinus swimcr","Étrilles Liocarcin","","Cangrejos Liocarci",""
"VSE","","","Ceram vase","","","","(Linnaeus 1758)"
"SOX","","","Soles nei","Soles nca","","Lenguados nep",""
"SOS","","","Sand sole","Sole-pole","","Lenguado de arena","Ben-Tuvia 1990"
"SOW","","","West coast sole","Sole australe occi","","Lenguado austral o","(Bleeker 1863)"
"SOE","","","Mud sole","Sole de vase","","Lenguado de fango","(Kaup 1858)"
"THS","","","Thickback soles ne","Soles-perdix nca","","Golletas nep",""
"TOX","","","Tonguefishes","Cynoglossidés","","Cinoglósidos",""
"SCF","","","Turbots nei","Turbots nca","","Rodaballos nep",""
"OVI","","","Redmouth olive","Olive à bouche ro","","","(Roding 1798)"
"CRB","","","Blue crab","Crabe bleu","","Cangrejo azul","Rathbun 1896"
"CRZ","","","Dana swimcrab","Crabe lénée","","Cangrejo sirí","Smith 1869"
"CRC","","","Giant swimcrab","Crabe géant","","Jaiba gigante","Ordway 1863"
"CRG","","","Green crab","Crabe vert","","Cangrejo verde","(Linnaeus 1758)"
"GUB","","","Whitespotted guita","Poisson-guitare à","","Guitarra pecosa","(Norman 1930)"
"RAJ","","","Rays and skates ne","Rajidés nca","","Rayidos nep",""
"TLQ","أُخطبوط مُقرَّن","角刺四角蛸","Spiney-horn octopu","Poulpe cornu","","Pulpo cornudo","Voss 1955"
"NID","","","Dana octopus squid","Encornet poulpe da","","Pulpota","Joubin 1931"
"YHT","أُخطبوط مُزدوِج الشكل","结瘤快蛸","Tuberculate octopu","Pieuvre dimorphe","","Pulpote","Rafinesque 1814"
"PTM","قِرش قِط طويل الزِّعنفة الظَّهرية","小齿拟皱唇鲨","False catshark","Requin à longue d","","Musolón de aleta ","Capello 1868"
"GSK","","","Greenland shark","Laimargue du Groen","Акула полярная атлантическая","Tollo de Groenland","(Bloch & Schneider 1801)"
"DGZ","","","Dogfishes nei","Aiguillats nca","","Mielgas nep",""
"DOP","","","Shortnose spurdog","Aiguillat nez cour","","Galludo ñato","(Macleay 1881)"
"GUQ","","","Leafscale gulper s","Squale-chagrin de ","","Quelvacho negro","(Bonnaterre 1788)"
"ETX","قِرش فانوس شائع","黑腹鸟鲨","Velvet belly","Sagre commun","","Negrito","(Linnaeus 1758)"
"ETP","قِرش فانوس ليِّن","光鳞鸟鲨","Smooth lanternshar","Sagre nain","","Tollo lucero liso","(Lowe 1839)"
"CYO","كلب البحر برتغالي شائع","腔鳞荆鲨","Portuguese dogfish","Pailona commun","Акула португальская","Pailona","Bocage & Capello 1864"
"NDH","ذو الأذرع العشر طائر هاوايي","夏威夷柔鱼","Hawaiian flying sq","Encornet bouquet","","Pota hawaiana","(Berry 1912)"
"OFE","","","Orangeback flying ","Encornet dos orang","","Pota naranja","Steenstrup 1855"
"OKA","","","Atlantic bird squi","Encornet oiseau","","Pota pajara","Adam 1957"
"OKL","ذو الأذؤع العشر صقَّال","多刺飞乌贼","Shiny bird squid","Encornet planeur","","Pota planeadora","Sasaki 1915"
"IXO","ذو الأذرع العشر أحمر بِرَأس","尖尾短鳍柔鱼","Sharptail shortfin","Encornet rouge à ","","Pota puntiaguda","Roper, Lu & Mangold 1969"
"CYP","كلب البحر برتغالي ذو منقار طويل","长吻荆鲨","Longnose velvet do","Pailona à long ne","Акула длинноносая белоглазая","Sapata negra","(Bocage & Capello 1864)"
"IOS","","","Indian oil sardine","Sardinelle indienn","","Sardinela aceitera","Valenciennes 1847"
"FRP","طحالب نورية قاتمة","孔紫菜","Frilled nori","Nori froncé","","Nori escarolado","J. Agardh 1883"
"YGF","","","","","","","(Turner) Martius"
"YGJ","","","","","","","J. Agardh"
"OTX","","","Clawed sea moss","","","","(Lyngbye) P.C. Silva 1987"
"GKC","","","Arcuate gracilaria","","","","Zanardini 1860"
"WEG","","","Greater weever","Grande vive","","Escorpión","Linnaeus 1758"
"URA","مَخبَآت","鰧属未定种","Stargazers","Uranoscopes","","Miracielos(=Ratas)",""
"NOX","","","Antarctic rockcods","Bocasses, bocasson","Нототениевидные","Tramas, doradillos",""
"BLP","","","Patagonian blennie","Guite de Patagonie","","Róbalo patagónic","(Cuvier 1830)"
"TOT","","","Antarctic toothfis","Légines antarctiq","","Austromerluzas nep",""
"TOA","","","Antarctic toothfis","Légine antarctiqu","Клыкач антарктический","Austromerluza ant ","Norman 1937"
"TOP","","","Patagonian toothfi","Légine australe","Клыкач патагонский","Austromerluza negr","Smitt 1898"
"DMH","طُحلُب كورسيكا","科西嘉松节藻","Corsican moss","Mousse de Corse","","Musgo de Corcega","(La Tourette) Kutzing 1843"
"KMI","سِراميوم وَبَر","柔软仙菜","Velvet ceramium","Céramium cilie","","Trillo velludo","(Ellis) Ducluzeau 1809"
"YKP","ذَوَّابة جِنِّيات البحر","海洋囊枝藻","Marine bindweed","Cirre des Sirenes","","Esparraguilla","(Hudson) Batters 1902"
"KDM","","","","","","Chicorea de mar","(C. Agardh) Kützing 1843"
"SBQ","","","","","","Luga negra o cresp","(Bory) Leister 1993"
"MZL","","","","","","Luga cuchara o cor","(Bory) Fredericq 1993"
"GCH","","","","","","Pelillo","C.J. Bird, McLachlan & E.C. Oliveira"
"GDH","","","","","","","(Montagne) Santelices & Montalva 1983"
"GDX","","","","","","","Santelices & I.A.Abbott 1985"
"NOR","","","Marbled rockcod","Bocasse marbrée","Нототения мраморная","Trama jaspeada","Richardson 1844"
"NOG","","","Humped rockcod","Bocasse bossue","Нототения зеленая","Trama jorobada","(Lönnberg 1905)"
"NOS","","","Grey rockcod","Bocasse grise","Нототения серая (=сквама)","Trama gris","(Günther 1880)"
"NOA","","","Triangular rockcod","Bocasse triangulai","","Trama triangular","(Günther 1880)"
"SVE","","","Striped venus","Petite praire","","Chirla","(Linnaeus 1758)"
"HCX","","","Hard clams nei","","","",""
"HCA","","","Asiatic hard clam","Cythérée commune","","","(Linnaeus 1758)"
"SXQ","","","Fur seals nei","Otaries nca","","Lobos finos nep",""
"DNA","","","Deania dogfishes n","Squales-savates nc","","Tollos Deania nep",""
"DCA","كلب البحر أخرق","喙吻田氏鲨","Birdbeak dogfish","Squale savate","Акула лопатоносая","Tollo pajarito","(Lowe 1839)"
"ASK","","","Angelsharks, sand ","Anges de mer nca","","Angelotes, peces  ",""
"OXY","قِرش فظّ شائع","尖背角鲨","Angular roughshark","Centrine commune","","Cerdo marino","(Linnaeus 1758)"
"SHB","","","Bramble shark","Squale bouclé","","Tiburón de clavos","(Bonnaterre 1788)"
"SRX","","","Rays, stingrays, m","Raies, pastenagues","Скатообразные (скаты, хвостоколы, манты)","Rayas, pastinacas,",""
"GUZ","","","Guitarfishes nei","Guitares nca","","Guitarras nep",""
"GUD","","","Chola guitarfish","Poisson-guitare ch","","Guitarra chola","(Walbaum 1792)"
"GHA","","","Atlantic sawtail c","","","Olayo atlántico","(Vaillant 1888)"
"EXQ","","","Flying halfbeak","Demi-bec volant","","Agujeta voladora","Poey 1868"
"PQO","","","","","","",""
"REZ","","","Marlin sucker","Rémora des marlins","","Agarrador","(Cuvier 1829)"
"TWK","","","Slender ribbonfish","","","","Jordan & Snyder 1901"
"WME","","","Bass groper","","","","Phillipps 1927"
"HVU","","","Cornish blackfish","Rouffe des méduses","","Rufo de aguas mala","(Cocco 1839)"
"OVN","","","Amethyst olive","Olive mouchetée","","","(Gmelin 1791)"
"SKA","","","Raja rays nei","Pocheteaux et raie","Скаты ромбовые","Rayas raja nep",""
"RJC","","","Thornback ray","Raie bouclée","Лисица морская (=скат колючий)","Raya de clavos","Linnaeus 1758"
"RJM","","","Spotted ray","Raie douce","","Raya pintada","Fowler 1910"
"RJH","شِفنين بحري مَلْسَة","短尾鳐","Blonde ray","Raie lisse","","Raya boca de rosa","Lafont 1873"
"RJF","","","Shagreen ray","Raie chardon","","Raya cardadora","Linnaeus 1758"
"YBP","فولوت نِبتون","非洲宽口涡螺","Neptune's volute","Volute Neptune","","Voluta de Nepruno","(Lightfoot 1786)"
"MVR","","","Australasian ganne","Fou austral","","Alcatraz australia","(Gray 1843)"
"TKX","","","Dentate top shell","Troque pyramidal","","","(Forsskål 1775)"
"SXJ","","","Three-knobbed conc","Strombe tricorne","","","Humphrey 1786"
